"","Site","Plot","Species","microcosm_select2"
"2","SCBI",2,"TP",FALSE
"3","SCBI",3,"HI",FALSE
"6","SCBI",6,"TP",FALSE
"7","SCBI",7,"RO",FALSE
"8","SCBI",8,"TP",FALSE
"14","SCBI",14,"HI",FALSE
"17","SCBI",17,"TP",FALSE
"21","SCBI",21,"TP",FALSE
"24","SCBI",24,"RO",FALSE
"26","SCBI",26,"TP",FALSE
"27","SCBI",27,"RO",FALSE
"28","SCBI",28,"HI",FALSE
"29","SCBI",29,"HI",FALSE
"30","SCBI",30,"RO",TRUE
"31","SCBI",31,"TP",FALSE
"32","SCBI",32,"HI",FALSE
"35","SCBI",35,"RO",FALSE
"37","SCBI",37,"HI",FALSE
"38","SCBI",38,"RO",TRUE
"40","SCBI",40,"HI",FALSE
"41","SCBI",41,"TP",FALSE
"42","SCBI",42,"RO",FALSE
"43","SCBI",43,"RO",FALSE
"44","SCBI",44,"HI",FALSE
"45","SCBI",45,"RO",FALSE
"46","SCBI",46,"TP",FALSE
"49","SCBI",49,"HI",FALSE
"50","HARV",1,"RM",FALSE
"51","HARV",2,"WP",FALSE
"52","HARV",3,"RO",TRUE
"54","HARV",5,"RM",FALSE
"55","HARV",6,"RO",FALSE
"56","HARV",7,"WP",FALSE
"58","HARV",9,"WP",FALSE
"59","HARV",10,"RO",FALSE
"60","HARV",11,"WP",FALSE
"61","HARV",12,"RM",FALSE
"62","HARV",13,"RO",FALSE
"64","HARV",15,"RM",FALSE
"66","HARV",17,"WP",FALSE
"73","HARV",24,"RM",FALSE
"74","HARV",25,"RO",FALSE
"77","HARV",28,"WP",FALSE
"78","HARV",29,"RM",FALSE
"80","HARV",31,"WP",FALSE
"83","HARV",34,"RM",FALSE
"85","HARV",36,"RM",FALSE
"87","HARV",38,"WP",FALSE
"88","HARV",39,"RM",FALSE
"90","HARV",41,"RO",FALSE
"91","HARV",42,"RO",FALSE
"93","HARV",44,"WP",FALSE
"94","HARV",45,"RO",FALSE
"95","HARV",46,"RO",TRUE
